OID_,L_LADD,L_HADD,R_LADD,R_HADD,PREDIR,STREET,SUFFIX,POSDIR,STREETNAME,UPDATED,UPDATED_BY,CREATED,ROUTE_NO,STREET_ID,SOURCE,ST_CLASS,CATCHBASIN,METERREAD,PRIORITY,SNOWRT,LEAFRT,TRASHRT,ENABLED,ONE_WAY,SPEED,PS_1,PS_2,SYMBOLOGY,PARKZONE,STSEGID,created_us,created_da,last_edite,last_edi_1,Shape_len
149,705.000000000000000,717.000000000000000,700.000000000000000,700.000000000000000, ,RIVANNA,AVE, ,RIVANNA AVE,4/20/2012 0:00:00,RAE, ,1,1.000000000000000, ,N/A,N/A, ,N/A,N/A,N/A,N/A,1.000000000000000, ,25, , ,8, ,80151.000000000000000, ,, ,,274.219235767999976
252,700.000000000000000,726.000000000000000,701.000000000000000,725.000000000000000, ,CYNTHIANNA,AVE, ,CYNTHIANNA AVE,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,80256.000000000000000, ,, ,,376.430241631999991
253,800.000000000000000,812.000000000000000,801.000000000000000,811.000000000000000, ,CYNTHIANNA,AVE, ,CYNTHIANNA AVE,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,80257.000000000000000, ,, ,,368.688859991000015
298,0.000000000000000,0.000000000000000,701.000000000000000,723.000000000000000, ,PRESTON,AVE, ,PRESTON AVE,12/13/2010 0:00:00,RAE, ,0,1.000000000000000, ,PA,3, ,AUX 2,AUX 2,1F,THURSDAY,1.000000000000000,FT,35, , ,2, ,80302.000000000000000, ,, ,,454.378639525999972
299,601.000000000000000,621.000000000000000,600.000000000000000,620.000000000000000, ,FOREST,ST, ,FOREST ST,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,80303.000000000000000, ,, ,,260.104337380000004
300,800.000000000000000,828.000000000000000,801.000000000000000,827.000000000000000, ,DALE,AVE, ,DALE AVE,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,80304.000000000000000, ,, ,,379.082163627000000
301,629.000000000000000,643.000000000000000,700.000000000000000,720.000000000000000, ,ROSE HILL,DR, ,ROSE HILL DR,3/11/2005 0:00:00, , ,1,1.000000000000000, ,MA,3, ,PRIMARY,4,1F,THURSDAY,1.000000000000000, ,35, , ,3, ,80305.000000000000000, ,, ,,295.257130868999980
302,910.000000000000000,944.000000000000000,911.000000000000000,947.000000000000000, ,CHARLTON,AVE, ,CHARLTON AVE,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,80306.000000000000000, ,, ,,752.630373542000029
303,601.000000000000000,641.000000000000000,600.000000000000000,634.000000000000000, ,BOOKER,ST, ,BOOKER ST,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,80307.000000000000000, ,, ,,476.405972717999987
304,801.000000000000000,821.000000000000000,800.000000000000000,820.000000000000000, ,ROSE HILL,DR, ,ROSE HILL DR,3/11/2005 0:00:00, , ,1,1.000000000000000, ,MA,3, ,PRIMARY,4,1F,THURSDAY,1.000000000000000, ,35, , ,3, ,80308.000000000000000, ,, ,,325.617676443999983
305,900.000000000000000,944.000000000000000,901.000000000000000,943.000000000000000, ,HENRY,AVE, ,HENRY AVE,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,80309.000000000000000, ,, ,,1044.866240000000062
306,701.000000000000000,799.000000000000000,700.000000000000000,756.000000000000000, ,10TH,ST,NW,10TH ST NW,4/20/2012 0:00:00,RAE,RLC,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,80310.000000000000000, ,, ,,256.046517130999973
426,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,ROSSER,AVE,E,ROSSER AVE E,3/11/2005 0:00:00, , ,0,0.000000000000000, ,LC,4, ,SECONDARY,8,1G,THURSDAY,1.000000000000000, ,25, , ,8, ,80431.000000000000000, ,, ,,96.203608324200005
428,1001.000000000000000,1035.000000000000000,0.000000000000000,0.000000000000000, ,PRESTON,AVE, ,PRESTON AVE,3/11/2005 0:00:00, , ,0,1.000000000000000, ,MA,3, ,AUX 2,AUX 2,1F,THURSDAY,1.000000000000000, ,25, , ,3, ,80433.000000000000000, ,,COOKR,11/10/2014 0:00:00,746.954124792000016
472,800.000000000000000,816.000000000000000,0.000000000000000,0.000000000000000, ,CHARLTON,AVE, ,CHARLTON AVE,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,80477.000000000000000, ,, ,,378.348790274000010
473,701.000000000000000,717.000000000000000,700.000000000000000,700.000000000000000, ,DALE,AVE, ,DALE AVE,3/11/2005 0:00:00, , ,1,1.000000000000000, ,LC,3, ,SECONDARY,4,1F,THURSDAY,1.000000000000000, ,25, , ,8, ,80478.000000000000000, ,, ,,367.511884404999989
