OID_,L_LADD,L_HADD,R_LADD,R_HADD,PREDIR,STREET,SUFFIX,POSDIR,STREETNAME,UPDATED,UPDATED_BY,CREATED,ROUTE_NO,STREET_ID,SOURCE,ST_CLASS,CATCHBASIN,METERREAD,PRIORITY,SNOWRT,LEAFRT,TRASHRT,ENABLED,ONE_WAY,SPEED,PS_1,PS_2,SYMBOLOGY,PARKZONE,STSEGID,created_us,created_da,last_edite,last_edi_1,Shape_len
46,173.000000000000000,225.000000000000000,172.000000000000000,230.000000000000000, ,6TH,ST,NW,6TH ST NW,4/19/2012 0:00:00,RAE,RLC,1,0.000000000000000, ,LC,1, ,SECONDARY,4,2G,THURSDAY,1.000000000000000, ,25, , ,8, ,80047.000000000000000, ,, ,,218.844023351000004
47,201.000000000000000,217.000000000000000,200.000000000000000,218.000000000000000, ,5TH,ST,NW,5TH ST NW,3/11/2005 0:00:00, ,RLC,1,0.000000000000000, ,LC,1, ,SECONDARY,4,2G,THURSDAY,1.000000000000000, ,25, , ,8,Z6-1,80048.000000000000000, ,,COOKR,11/10/2014 0:00:00,278.000487217999989
48,0.000000000000000,0.000000000000000,501.000000000000000,561.000000000000000, ,BROWN,ST, ,BROWN ST,3/11/2005 0:00:00, , ,1,0.000000000000000, ,LC,1, ,SECONDARY,4,2G,THURSDAY,1.000000000000000, ,25, , ,8, ,80049.000000000000000, ,, ,,153.530909922000006
49,0.000000000000000,0.000000000000000,517.000000000000000,521.000000000000000, ,BROWN,ST, ,BROWN ST,3/11/2005 0:00:00, , ,1,0.000000000000000, ,LC,1, ,SECONDARY,4,2G,THURSDAY,1.000000000000000, ,25, , ,8, ,80050.000000000000000, ,, ,,75.839466700800003
232,800.000000000000000,860.000000000000000,801.000000000000000,861.000000000000000,W,MAIN,ST, ,W MAIN ST,12/13/2010 0:00:00,RAE, ,1,1.000000000000000, ,PA,4, ,PRIMARY,5,1G,UP/ DOWN,1.000000000000000, ,25, , ,2, ,80236.000000000000000, ,,COOKR,5/12/2015 0:00:00,911.161426571999982
283,113.000000000000000,127.000000000000000,0.000000000000000,0.000000000000000, ,4TH,ST,NW,4TH ST NW,3/12/2010 0:00:00,PER,RLC,1,0.000000000000000, ,LC,1, ,PRIMARY,4,2G,THURSDAY,1.000000000000000, ,25, , ,8, ,80287.000000000000000, ,, ,,319.370936148999988
296,400.000000000000000,430.000000000000000,0.000000000000000,0.000000000000000, ,COMMERCE,ST, ,COMMERCE ST,3/11/2005 0:00:00, , ,1,0.000000000000000, ,LC,1, ,SECONDARY,4,2G,THURSDAY,1.000000000000000, ,25, , ,8, ,80300.000000000000000, ,, ,,360.627219769000021
449,0.000000000000000,0.000000000000000,700.000000000000000,733.000000000000000,W,MAIN,ST, ,W MAIN ST,3/15/2010 0:00:00,PER, ,1,0.000000000000000, ,PA,1, ,PRIMARY,5,2G,UP/ DOWN,1.000000000000000, ,25, , ,2, ,80454.000000000000000, ,,COOKR,11/10/2014 0:00:00,322.109072980999997
450,600.000000000000000,636.000000000000000,601.000000000000000,637.000000000000000,W,MAIN,ST, ,W MAIN ST,3/16/2010 0:00:00,PER, ,1,0.000000000000000, ,PA,1, ,PRIMARY,5,2G,UP/ DOWN,1.000000000000000, ,25, , ,2, ,80455.000000000000000, ,,COOKR,11/10/2014 0:00:00,419.721621218999985
452,101.000000000000000,199.000000000000000,100.000000000000000,198.000000000000000, ,7TH,ST,NW,7TH ST NW,8/17/2011 0:00:00,RAE,RLC,1,0.000000000000000, ,LC,1, ,SECONDARY,4,2G,THURSDAY,1.000000000000000, ,25, , ,8, ,80457.000000000000000, ,, ,,237.200775502999988
453,400.000000000000000,422.000000000000000,401.000000000000000,427.000000000000000,W,MAIN,ST, ,W MAIN ST,3/16/2010 0:00:00,PER, ,1,0.000000000000000, ,PA,1, ,PRIMARY,5,2G,UP/ DOWN,1.000000000000000, ,25, , ,2, ,80458.000000000000000, ,,COOKR,11/10/2014 0:00:00,316.244419431999972
455,500.000000000000000,516.000000000000000,501.000000000000000,515.000000000000000,W,MAIN,ST, ,W MAIN ST,3/16/2010 0:00:00,PER, ,1,0.000000000000000, ,PA,1, ,PRIMARY,5,2G,UP/ DOWN,1.000000000000000, ,25, , ,2, ,80460.000000000000000, ,,COOKR,11/10/2014 0:00:00,222.073330813000013
456,500.000000000000000,510.000000000000000,501.000000000000000,507.000000000000000, ,COMMERCE,ST, ,COMMERCE ST,11/3/2014 0:00:00,JPH, ,1,0.000000000000000, ,LC,1, ,SECONDARY,4,2G,THURSDAY,1.000000000000000, ,25, , ,8, ,80461.000000000000000, ,,Herndon,11/3/2014 0:00:00,198.901531091000010
457,101.000000000000000,171.000000000000000,100.000000000000000,170.000000000000000, ,6TH,ST,NW,6TH ST NW,3/11/2005 0:00:00, ,RLC,1,0.000000000000000, ,LC,1, ,SECONDARY,4,2G,THURSDAY,1.000000000000000, ,25, , ,8, ,80462.000000000000000, ,, ,,248.485412047000011
